Kanji,RTK Keyword,RTK 6th Keyword,Kanji English Meaning,KANJIDIC Index,JIS Index,Kanji Frequency,RTK 4th Index,RTK 6th Index,2k1 Index,Opt Group,Opt Index,KKLC Index,Genki Index,Kanji Freq Group,Opt Vocab Sort Index,Opt Kanji Sort Index,Kanji Stroke Count,RTK2 Index,KanKen Group,Top 6 Vocab,Top 6 Vocab Closed,Top 6 English,Top 6 English Closed,Onyomi (* = not common),Kunyomi (* = not common),Onyomi Words Kanji,Onyomi Words Kana,Kunyomi Words Kanji,Kunyomi Words Kana,Primitives English,Primitives Japanese,Yomi,Yomi with Names,Story
闇,pitch dark,pitch dark,"get dark, gloom, disorder",39,3047,738,2777,1748,1491,2,890,1364,,2,1538,1371,17,2714,1.5,"闇[ -やみ- ],  暗闇[ -くらやみ- ],  無闇に[ -むやみに- ]  ,  ","__[ -やみ- ],  暗__[ -くらやみ- ],  無__に[ -むやみに- ]  ,  ","闇[ -darkness- ],  暗闇[ -in darkness- ],  無闇に[ -excessively; needlessly; rashly- ]  ,  ","__[ -darkness- ],  暗__[ -in darkness- ],  無__に[ -excessively; needlessly; rashly- ]  ,  ",,やみ,,,闇,やみ,",pitch dark,gates,sound,vase,stand up,sun,day,",",nichi,jitsu,tatsu,mon,kado,oto,",アン    オン    やみ    くら.い    ,アン    オン    やみ    くら.い    ,
簡,simplicity,simplicity,"simplicity, brevity",418,344A,861,1621,1749,291,2,891,463,,2,2403,2403,18,397,5,"簡単[ -かんたん- ],  簡易[ -かんい- ]    ","__単[ -かんたん- ],  __易[ -かんい- ]    ","簡単[ -simple, easy- ],  簡易[ -easy; simplified- ]    ","__単[ -simple, easy- ],  __易[ -easy; simplified- ]    ",カン,,"[簡単, 簡易, 書簡]","[かんたん, かんい, しょかん]",,,",simplicity,bamboo,interval,gates,sun,day,",",nichi,jitsu,take,chiku,mon,kado,",カン    ,カン    ,"A stick of BAMBOO is split into INTERVALS, which defines a very SIMPLE unit of measurement."
閉,closed,closed,"closed, shut",2480,4A44,595,1623,1751,98,2,892,449,,2,1992,1636,11,1519,5,"閉じる[ -とじる- ],  閉める[ -しめる- ],  閉まる[ -しまる- ],  閉店[ -へいてん- ],  閉会[ -へいかい- ],  閉鎖[ -へいさ- ]","__じる[ -とじる- ],  __める[ -しめる- ],  __まる[ -しまる- ],  __店[ -へいてん- ],  __会[ -へいかい- ],  __鎖[ -へいさ- ]","閉じる[ -shut, close (books, eyes, etc.)- ],  閉める[ -shut, close (doors, windows, etc.)- ],  閉まる[ -be shut, be closed- ],  閉店[ -shop closing- ],  閉会[ -closing- ],  閉鎖[ -closing; closure- ]","__じる[ -shut, close (books, eyes, etc.)- ],  __める[ -shut, close (doors, windows, etc.)- ],  __まる[ -be shut, be closed- ],  __店[ -shop closing- ],  __会[ -closing- ],  __鎖[ -closing; closure- ]",ヘイ,と-じる、と-ざす、し-める、し-まる,"[閉店, 閉口, 密閉]","[へいてん, へいこう, みっぺい]",閉まる; 閉める; 閉ざす; 閉じる,し.まる; し.める; と.ざす; と.じる,",closed,gates,genie,",",mon,kado,",ヘイ    と.じる    と.ざす    し.める    し.まる    た.てる    ,ヘイ    と.じる    と.ざす    し.める    し.まる    た.てる    Name Readings:  へ    ,EINSTEIN CLOSED the GATES on the tried and true Newtonian physics with his startling new theories.
闘,fight,fight,"fight, war",2082,462E,729,1629,1757,1489,2,893,1363,,2,1537,1373,18,1443,4,"闘う[ -たたかう- ],  戦闘[ -せんとう- ],  格闘[ -かくとう- ],  闘争[ -とうそう- ]  ","__う[ -たたかう- ],  戦__[ -せんとう- ],  格__[ -かくとう- ],  __争[ -とうそう- ]  ","闘う[ -fight, battle- ],  戦闘[ -battle; fight- ],  格闘[ -fight; tussle- ],  闘争[ -conflict; fight- ]  ","__う[ -fight, battle- ],  戦__[ -battle; fight- ],  格__[ -fight; tussle- ],  __争[ -conflict; fight- ]  ",トウ,たたか-う,"[闘争, 闘志, 戦闘]","[とうそう, とうし, せんとう]",闘う,たたか.う,",fight,gates,beans,table,one,mouth,glue,",",ichi,iti,kuchi,kuti,sunn,mame,mon,kado,",トウ    たたか.う    あらそ.う    ,トウ    たたか.う    あらそ.う    Name Readings:  と    ,"The swinging GATES are broken, the TABLES are all overturned, and everything has to be GLUED together in the aftermath of a saloon FIGHT."
倉,godown,godown,"godown, warehouse, storehouse, cellar, treasury",1648,4152,732,1630,1758,1570,2,894,696,,2,505,182,10,472,7,倉庫[ -そうこ-],__庫[ -そうこ-],"倉庫[ -warehouse, storehouse- ]","__庫[ -warehouse, storehouse- ]",ソウ,くら,"[倉庫, 穀倉]","[そうこ, こくそう]",倉,くら,",godown,meeting,single gate,umbrella,stable door,mouth,",",kuchi,kuti,",ソウ    くら    ,ソウ    くら    ,"Many GATES MEET with a MOUTH representing the entrance, in a GODOWN (A godown is storeroom in India & China, which has many entrances)."
非,un-,un-,"un-, mistake, negative, injustice, non-",2339,4873,612,1632,1760,530,2,895,738,,2,1473,1326,8,1632,6,"是非[ -ぜひ- ],  非常に[ -ひじょうに- ],  非常[ -ひじょう- ],  非常口[ -ひじょうぐち- ],  非難[ -ひなん- ],  非常識[ -ひじょうしき- ]","是__[ -ぜひ- ],  __常に[ -ひじょうに- ],  __常[ -ひじょう- ],  __常口[ -ひじょうぐち- ],  __難[ -ひなん- ],  __常識[ -ひじょうしき- ]","是非[ -by all means, please- ],  非常に[ -very, extremely- ],  非常[ -emergency- ],  非常口[ -emergency exit- ],  非難[ -criticism, blame- ],  非常識[ -lack of common sense- ]","是__[ -by all means, please- ],  __常に[ -very, extremely- ],  __常[ -emergency- ],  __常口[ -emergency exit- ],  __難[ -criticism, blame- ],  __常識[ -lack of common sense- ]",ヒ,,"[非難, 非常, 是非]","[ひなん, ひじょう, ぜひ]",,,",un-,jail cell,prison bars,",",arazu,",ヒ    あら.ず    ,ヒ    あら.ず    ,Pictograph of a heavy iron pole with bars extending in both directions.
罪,guilt,guilt,"guilt, sin, crime, fault, blame, offense",1005,3A61,626,1636,1764,640,2,896,741,,2,836,594,13,1432,6,"犯罪[ -はんざい- ],  罪[ -つみ- ],  謝罪[ -しゃざい- ],  無罪[ -むざい- ],  有罪[ -ゆうざい- ],  ","犯__[ -はんざい- ],  __[ -つみ- ],  謝__[ -しゃざい- ],  無__[ -むざい- ],  有__[ -ゆうざい- ],  ","犯罪[ -offense, crime- ],  罪[ -crime, sin- ],  謝罪[ -apology- ],  無罪[ -innocence- ],  有罪[ -guilt; guiltiness- ],  ","犯__[ -offense, crime- ],  __[ -crime, sin- ],  謝__[ -apology- ],  無__[ -innocence- ],  有__[ -guilt; guiltiness- ],  ",ザイ,つみ,"[罪状, 犯罪, 謝罪]","[ざいじょう, はんざい, しゃざい]",罪,つみ,",guilt,eye,cross-eyed,net,un-,jail cell,prison bars,",",me,amigashira,arazu,",ザイ    つみ    ,ザイ    つみ    ,"A huge EYE is painted on the ceiling of a JAIL CELL, silently reminding the inhabitant of his GUILT."
輩,comrade,comrade,"comrade, fellow, people, companions",2220,475A,802,1637,1765,1619,2,897,1855,,2,1697,1941,15,1427,4,"先輩[ -せんぱい- ],  後輩[ -こうはい- ]    ","先__[ -せんぱい- ],  後__[ -こうはい- ]    ","先輩[ -senior, superior- ],  後輩[ -one's junior- ]    ","先__[ -senior, superior- ],  後__[ -one's junior- ]    ",ハイ,,"[輩出, 同輩, 先輩]","[はいしゅつ, どうはい, せんぱい]",,,",comrade,un-,jail cell,prison bars,car,",",kuruma,arazu,",ハイ    -ばら    やから    やかい    ともがら    ,ハイ    -ばら    やから    やかい    ともがら    ,"As they drove around town picking up subversives in the JAIL CELL CAR, the K.G.B were great COMRADES to one another."
扉,front door,front door,"front door, title page, front page",2322,4862,897,1638,1766,1291,2,898,1888,,2,1976,1969,12,1431,2.5,扉[ -とびら-],__[ -とびら-],扉[ -door- ],__[ -door- ],ヒ,とびら,"[開扉, 門扉]","[かいとびら, もんぴ]",扉,とびら,",front door,door,one,ceiling,flag,un-,jail cell,prison bars,",",ichi,iti,kabane,tobiranoto,arazu,",ヒ    とびら    ,ヒ    とびら    ,The only DOOR out of a JAIL CELL is the FRONT DOOR.
快,cheerful,cheerful,"cheerful, pleasant, agreeable, comfortable",275,3277,741,1642,1771,686,2,899,331,,2,1730,1730,7,1810,6,"愉快[ -ゆかい- ],  快晴[ -かいせい- ],  不愉快[ -ふゆかい- ],  快い[ -こころよい- ],  軽快[ -けいかい- ],  不快[ -ふかい- ]","愉__[ -ゆかい- ],  __晴[ -かいせい- ],  不愉__[ -ふゆかい- ],  __い[ -こころよい- ],  軽__[ -けいかい- ],  不__[ -ふかい- ]","愉快[ -pleasant, amusing- ],  快晴[ -clear and fine weather- ],  不愉快[ -upset, disagreeable- ],  快い[ -comfortable, willing- ],  軽快[ -light, cheerful- ],  不快[ -unpleasant- ]","愉__[ -pleasant, amusing- ],  __晴[ -clear and fine weather- ],  不愉__[ -upset, disagreeable- ],  __い[ -comfortable, willing- ],  軽__[ -light, cheerful- ],  不__[ -unpleasant- ]",カイ,こころよ-い,"[快活, 快晴, 明快]","[かいかつ, かいせい, めいかい]",快い,こころよ.い,",cheerful,Freud,state of mind,guillotine,key,St. Bernard,",",ookii,risshinben,",カイ    こころよ.い    ,カイ    こころよ.い    Name Readings:  よし    ,Marie Antoinette's STATE OF MIND as she approaches the GUILLOTINE is inexplicably CHEERFUL - perhaps she has completely lost her senses in the trauma of the revolution.
岸,beach,beach,beach,439,345F,809,1653,1782,960,2,900,1648,,2,1887,1704,8,1147,8,"海岸[ -かいがん- ],  岸[ -きし- ],  沿岸[ -えんがん- ],  彼岸[ -ひがん- ],  岸辺[ -きしべ- ],  ","海__[ -かいがん- ],  __[ -きし- ],  沿__[ -えんがん- ],  彼__[ -ひがん- ],  __辺[ -きしべ- ],  ","海岸[ -seashore, coast- ],  岸[ -shore, bank- ],  沿岸[ -coast, shore- ],  彼岸[ -equinox- ],  岸辺[ -bank; shore- ],  ","海__[ -seashore, coast- ],  __[ -shore, bank- ],  沿__[ -coast, shore- ],  彼__[ -equinox- ],  __辺[ -bank; shore- ],  ",ガン,きし,"[岸壁, 対岸, 彼岸]","[がんぺき, たいがん, ひがん]",岸,きし,",beach,mountain,cliff,dry,clothesline,",",gandare,yama,hosu,",ガン    きし    ,ガン    きし    Name Readings:  けし    ,"Beneath a MOUNTAIN CLIFF, a CLOTHESLINE has been set up to dry the bathing suits on a BEACH."
宇,eaves,eaves,"eaves, roof, house, heaven",101,3127,787,1656,1785,706,2,901,1542,,2,311,416,6,30,5,宇宙[ -うちゅう-],__宙[ -うちゅう-],"宇宙[ -universe, space- ]","__宙[ -universe, space- ]",ウ,,"[宇宙, 気宇, 堂宇]","[うちゅう, きう, どうう]",,,",eaves,house,potato,",",ukanmuri,",ウ    ,ウ    Name Readings:  いえ    たか    ひろ    ひろし    ,"In a HOUSE, POTATOES are grown under the EAVES of the attic by a farming fanatic."
余,too much,too much,"too much, myself, surplus, other, remainder",2756,4D3E,518,1657,1786,821,2,902,995,,2,107,418,7,1515,6,"余る[ -あまる- ],  余裕[ -よゆう- ],  余り[ -あまり- ],  余計[ -よけい- ],  余地[ -よち- ],  余分[ -よぶん- ]","__る[ -あまる- ],  __裕[ -よゆう- ],  __り[ -あまり- ],  __計[ -よけい- ],  __地[ -よち- ],  __分[ -よぶん- ]","余る[ -remain, be in excess- ],  余裕[ -room, leeway (time, money etc.)- ],  余り[ -remainder, leftover- ],  余計[ -unnecessary, extra- ],  余地[ -room, space- ],  余分[ -excess, extra- ]","__る[ -remain, be in excess- ],  __裕[ -room, leeway (time, money etc.)- ],  __り[ -remainder, leftover- ],  __計[ -unnecessary, extra- ],  __地[ -room, space- ],  __分[ -excess, extra- ]",ヨ,あま-る、あま-す,"[余剰, 余地, 残余]","[よじょう, よち, ざんよ]",余す; 余る,あま.す; あま.る,",too much,umbrella,potato,small,",",chiisai,",ヨ    あま.る    あま.り    あま.す    ,ヨ    あま.る    あま.り    あま.す    Name Readings:  あまる    ,"An UMBRELLA tries to cover a load of SMALL POTATOES, but the task proves to be TOO MUCH."
除,exclude,exclude,"exclude, division (x/3), remove, abolish, cancel, except",1314,3D7C,977,1658,1787,823,2,903,996,,2,1504,1231,10,1027,5,"除く[ -のぞく- ],  掃除[ -そうじ- ],  掃除機[ -そうじき- ],  削除[ -さくじょ- ],  排除[ -はいじょ- ],  解除[ -かいじょ- ]","__く[ -のぞく- ],  掃__[ -そうじ- ],  掃__機[ -そうじき- ],  削__[ -さくじょ- ],  排__[ -はいじょ- ],  解__[ -かいじょ- ]","除く[ -remove, exclude- ],  掃除[ -cleaning- ],  掃除機[ -vacuum cleaner- ],  削除[ -deletion, elimination- ],  排除[ -exclusion; removal- ],  解除[ -cancellation; release- ]","__く[ -remove, exclude- ],  掃__[ -cleaning- ],  掃__機[ -vacuum cleaner- ],  削__[ -deletion, elimination- ],  排__[ -exclusion; removal- ],  解__[ -cancellation; release- ]",ジョ、ジ*,のぞ-く,"[除外, 除数, 解除];  [掃除]","[じょがい, じょすう, かいじょ]; [そうじ]",除く,のぞ.く,",exclude,pinnacle,parthenon,acropolis,scales,too much,umbrella,potato,small,",",chiisai,kozato,",ジョ    ジ    のぞ.く    -よ.け    ,ジョ    ジ    のぞ.く    -よ.け    ,"A tourist who wants to see the ACROPOLIS is weighed on a SCALE, and if he is too heavy, is EXCLUDED from going inside. | PINNACLE lends a sense of ""high ground"" to the kanji for EXCLUDE."
途,route,route,"route, way, road",2025,4553,556,1661,1790,822,2,904,1000,,2,250,421,9,1514,4,"途中[ -とちゅう- ],  用途[ -ようと- ],  中途[ -ちゅうと- ],  前途[ -ぜんと- ],  途上[ -とじょう- ],  途切れる[ -とぎれる- ]","__中[ -とちゅう- ],  用__[ -ようと- ],  中__[ -ちゅうと- ],  前__[ -ぜんと- ],  __上[ -とじょう- ],  __切れる[ -とぎれる- ]","途中[ -on the way, half way- ],  用途[ -usage, purpose of use- ],  中途[ -halfway- ],  前途[ -distance yet to cover- ],  途上[ -en route; on the way- ],  途切れる[ -break; pause- ]","__中[ -on the way, half way- ],  用__[ -usage, purpose of use- ],  中__[ -halfway- ],  前__[ -distance yet to cover- ],  __上[ -en route; on the way- ],  __切れる[ -break; pause- ]",ト,,"[途上, 帰途, 前途]","[とじょう, きと, ぜんと]",,,",route,scales,too much,umbrella,potato,small,road,",",chiisai,shinnyou,",ト    ,ト    Name Readings:  みち    ,SCALES along a ROAD form the ROUTE a trucker must follow in order to have his freight weighed along the way.
束,bundle,bundle,"bundle, sheaf, ream, tie in bundles, govern, manage, control",1703,422B,649,1664,1793,355,2,905,307,,2,1225,1181,7,1068,7,"約束[ -やくそく- ],  束[ -たば- ],  花束[ -はなたば- ],  拘束[ -こうそく- ],  束縛[ -そくばく- ],  束の間[ -つかのま- ]","約__[ -やくそく- ],  __[ -たば- ],  花__[ -はなたば- ],  拘__[ -こうそく- ],  __縛[ -そくばく- ],  __の間[ -つかのま- ]","約束[ -promise, vow- ],  束[ -bundle, bunch- ],  花束[ -flower bouquet- ],  拘束[ -restraint; restriction- ],  束縛[ -restraint; restriction- ],  束の間[ -moment- ]","約__[ -promise, vow- ],  __[ -bundle, bunch- ],  花__[ -flower bouquet- ],  拘__[ -restraint; restriction- ],  __縛[ -restraint; restriction- ],  __の間[ -moment- ]",ソク,たば,"[束縛, 結束, 約束]","[そくばく, けっそく, やくそく]",束,たば,",bundle,Chaplin,tree,wood,mouth,",",kuchi,kuti,ki,moku,",ソク    たば    たば.ねる    つか    つか.ねる    ,ソク    たば    たば.ねる    つか    つか.ねる    ,"MOUTH behind a TREE is an easy pictograph, however: Your MOUTH opens wide when you realize that TREE became a BUNDLE of newspapers. I think BUNDLE of newspapers makes for an easy visual image anyway."
瀬,rapids,rapids,"rapids, current, torrent, shallows, shoal",1509,4025,917,1666,1795,1202,2,906,1931,,2,59,220,19,646,3,瀬戸物[ -せともの-],__戸物[ -せともの-],瀬戸物[ -ceramics; china; porcelain- ],__戸物[ -ceramics; china; porcelain- ],,せ,,,瀬,せ,",rapids,water,water droplets,water pistol,trust,bundle,Chaplin,tree,wood,mouth,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",",ichi,iti,tenn,hachi,hati,kuchi,kuti,ki,moku,mizu,sanzui,me,kaihen,kogai,oogai,peeji,",ライ    せ    ,ライ    せ    Name Readings:  いわた    がせ    しげ    せい    せっ    ,"Here I have a mental picture of a group riding the RAPIDS. One man has fallen in the WATER, he reaches out to his friends in the raft whom he TRUSTS will pull him to safety. It's from some demotivational calender or something."
速,quick,quick,"quick, fast",1706,422E,627,1669,1799,377,2,907,1143,,2,2278,2278,9,1023,8,"速い[ -はやい- ],  早速[ -さっそく- ],  速さ[ -はやさ- ],  高速道路[ -こうそくどうろ- ],  速達[ -そくたつ- ],  高速[ -こうそく- ]","__い[ -はやい- ],  早__[ -さっそく- ],  __さ[ -はやさ- ],  高__道路[ -こうそくどうろ- ],  __達[ -そくたつ- ],  高__[ -こうそく- ]","速い[ -fast- ],  早速[ -immediately, right away- ],  速さ[ -speed- ],  高速道路[ -freeway, expressway- ],  速達[ -special delivery, express mail- ],  高速[ -high speed, express- ]","__い[ -fast- ],  早__[ -immediately, right away- ],  __さ[ -speed- ],  高__道路[ -freeway, expressway- ],  __達[ -special delivery, express mail- ],  高__[ -high speed, express- ]",ソク,はや-い、はや-める、すみ-やか,"[速度, 敏速, 時速]","[そくど, びんそく, じそく]",速やか; 速い; 速める,すみ.やか; はや.い; はや.める,",quick,bundle,Chaplin,tree,wood,mouth,road,",",kuchi,kuti,ki,moku,shinnyou,",ソク    はや.い    はや-    はや.める    すみ.やか    ,ソク    はや.い    はや-    はや.める    すみ.やか    Name Readings:  わ    ,A BUNDLE moving down the ROAD QUICKLY gains momentum.
整,organize,organize,"organize, arranging, tune, tone, meter, key (music)",1520,4030,937,1670,1800,532,2,908,308,,2,345,359,16,1206,8,"整備[ -せいび- ],  調整[ -ちょうせい- ],  整理[ -せいり- ],  整う[ -ととのう- ],  整える[ -ととのえる- ],  整列[ -せいれつ- ]","__備[ -せいび- ],  調__[ -ちょうせい- ],  __理[ -せいり- ],  __う[ -ととのう- ],  __える[ -ととのえる- ],  __列[ -せいれつ- ]","整備[ -maintenance- ],  調整[ -regulation, adjustment- ],  整理[ -putting something in order, sorting out- ],  整う[ -be arranged, be ready- ],  整える[ -adjust (something), tidy up- ],  整列[ -lining-up, forming a line- ]","__備[ -maintenance- ],  調__[ -regulation, adjustment- ],  __理[ -putting something in order, sorting out- ],  __う[ -be arranged, be ready- ],  __える[ -adjust (something), tidy up- ],  __列[ -lining-up, forming a line- ]",セイ,ととの-える、ととの-う,"[整理, 整列, 調整]","[せいり, せいれつ, ちょうせい]",整う; 整える,ととの.う; ととの.える,",organise,bundle,Chaplin,tree,wood,mouth,taskmaster,correct,one,ceiling,stop,footprint,",",ichi,iti,kuchi,kuti,nobun,tomata,ki,moku,tomeru,",セイ    ととの.える    ととの.う    ,セイ    ととの.える    ととの.う    Name Readings:  ひとし    ,"Recycling in Japan, you have to make sure all your bundles are organized correctly otherwise the taskmasters won't accept them."
険,precipitous,precipitous,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes",769,3831,671,1672,1802,487,2,909,1031,,2,1422,1161,11,133,6,"危険[ -きけん- ],  冒険[ -ぼうけん- ],  保険[ -ほけん- ],  険しい[ -けわしい- ],  険悪[ -けんあく- ],  ","危__[ -きけん- ],  冒__[ -ぼうけん- ],  保__[ -ほけん- ],  __しい[ -けわしい- ],  __悪[ -けんあく- ],  ","危険[ -danger, dangerous- ],  冒険[ -adventure, venture- ],  保険[ -insurance- ],  険しい[ -steep, rough- ],  険悪[ -dangerous; threatening- ],  ","危__[ -danger, dangerous- ],  冒__[ -adventure, venture- ],  保__[ -insurance- ],  __しい[ -steep, rough- ],  __悪[ -dangerous; threatening- ],  ",ケン,けわ-しい,"[険悪, 危険, 保険]","[けんあく, きけん, ほけん]",険しい,けわ.しい,",precipitous,pinnacle,parthenon,acropolis,awl,fit,meeting,umbrella,mouth,person,",",hito,ninben,kuchi,kuti,kozato,",ケン    けわ.しい    ,ケン    けわ.しい    ,"The edge of The Pinnacle is precipitous, so they have a guard posted with an ice pick to poke people and keep them from the edge."
検,examination,examination,"examination, investigate",753,3821,804,1673,1803,535,2,910,1029,,2,328,298,12,134,6,"検討[ -けんとう- ],  検査[ -けんさ- ],  検索[ -けんさく- ],  検証[ -けんしょう- ],  点検[ -てんけん- ],  検定[ -けんてい- ]","__討[ -けんとう- ],  __査[ -けんさ- ],  __索[ -けんさく- ],  __証[ -けんしょう- ],  点__[ -てんけん- ],  __定[ -けんてい- ]","検討[ -examination and consideration- ],  検査[ -inspection, examination- ],  検索[ -search- ],  検証[ -verification- ],  点検[ -inspection- ],  検定[ -examination- ]","__討[ -examination and consideration- ],  __査[ -inspection, examination- ],  __索[ -search- ],  __証[ -verification- ],  点__[ -inspection- ],  __定[ -examination- ]",ケン,,"[検査, 検討, 点検]","[けんさ, けんとう, てんけん]",,,",examination,tree,wood,awl,fit,meeting,umbrella,mouth,person,",",hito,ninben,kuchi,kuti,ki,moku,",ケン    しら.べる    ,ケン    しら.べる    ,Having to write the answers into a TREE with an AWL makes for a tough EXAMINATION.
働,work,work,"work, (kokuji)",2083,462F,673,1678,1809,375,2,911,541,139,2,2411,2411,13,333,7,"働く[ -はたらく- ],  労働[ -ろうどう- ],  働き[ -はたらき- ],  労働者[ -ろうどうしゃ- ],  共働き[ -ともばたらき- ],  ","__く[ -はたらく- ],  労__[ -ろうどう- ],  __き[ -はたらき- ],  労__者[ -ろうどうしゃ- ],  共__き[ -ともばたらき- ],  ","働く[ -work- ],  労働[ -labor, work- ],  働き[ -work, function- ],  労働者[ -laborer, worker- ],  共働き[ -dual income- ],  ","__く[ -work- ],  労__[ -labor, work- ],  __き[ -work, function- ],  労__者[ -laborer, worker- ],  共__き[ -dual income- ],  ",ドウ,はたら-く,"[労働, 実働]","[ろうどう, じつどう]",働く,はたら.く,",work,person,move,heavy,thousand,ri,computer,power,muscle,arnold,",",hito,ninben,chikara,tikara,sato,",ドウ    リュク    リキ    ロク    リョク    はたら.く    ,ドウ    リュク    リキ    ロク    リョク    はたら.く    ,"It looks like easy WORK, the Marine SENTRY does not MOVE at all."
種,species,species,"species, kind, class, variety, seed",1207,3C6F,515,1679,1810,404,2,912,544,,2,3024,3024,14,1658,7,"種類[ -しゅるい- ],  人種[ -じんしゅ- ],  種[ -たね- ],  各種[ -かくしゅ- ],  一種[ -いっしゅ- ],  種目[ -しゅもく- ]","__類[ -しゅるい- ],  人__[ -じんしゅ- ],  __[ -たね- ],  各__[ -かくしゅ- ],  一__[ -いっしゅ- ],  __目[ -しゅもく- ]","種類[ -kind, type- ],  人種[ -race- ],  種[ -seed- ],  各種[ -each kind, various- ],  一種[ -sort of, almost- ],  種目[ -item, event- ]","__類[ -kind, type- ],  人__[ -race- ],  __[ -seed- ],  各__[ -each kind, various- ],  一__[ -sort of, almost- ],  __目[ -item, event- ]",シュ,たね,"[種類, 人種, 品種]","[しゅるい, じんしゅ, ひんしゅ]",種,たね,",species,wheat,cereal,heavy,thousand,ri,computer,",",nogi,sato,",シュ    たね    -ぐさ    ,シュ    たね    -ぐさ    Name Readings:  おい    くさ    た    ほ    ,"After the whole low-carb craze, scientists developed a new low-carb species of wheat, so that dieters could eat it without getting heavier."
疲,tired,tired,"exhausted, tire, weary",2328,4868,881,1688,1823,479,2,913,1948,,2,1530,1543,10,1421,4,"疲れる[ -つかれる- ],  疲れ[ -つかれ- ],  疲労[ -ひろう- ]  ,  ","__れる[ -つかれる- ],  __れ[ -つかれ- ],  __労[ -ひろう- ]  ,  ","疲れる[ -get tired, become fatigued- ],  疲れ[ -fatigue, exhaustion- ],  疲労[ -fatigue- ]  ,  ","__れる[ -get tired, become fatigued- ],  __れ[ -fatigue, exhaustion- ],  __労[ -fatigue- ]  ,  ",ヒ,つか-れる、つか-らす,"[疲労, 疲弊]","[ひろう, ひへい]",疲らす; 疲れる,つか.らす; つか.れる,",exhausted,tired,sickness,hospital,pelt,branch,ten,needle,crotch,hook,",",juu,mata,eda,yamaidare,kegawa,",ヒ    つか.れる    -づか.れ    つか.らす    ,ヒ    つか.れる    -づか.れ    つか.らす    ,"From the earliest times, the ""SICKNESS"" that caused people to want to lay down on their animal PELTS and sleep was simply being EXHAUSTED."
医,doctor,doctor,"doctor, medicine",69,3065,585,1694,1829,473,2,914,561,176,2,2891,2891,7,935,8,"お医者さん[ -おいしゃさん- ],  医者[ -いしゃ- ],  歯医者[ -はいしゃ- ],  医療[ -いりょう- ],  医師[ -いし- ],  医学[ -いがく- ]","お__者さん[ -おいしゃさん- ],  __者[ -いしゃ- ],  歯__者[ -はいしゃ- ],  __療[ -いりょう- ],  __師[ -いし- ],  __学[ -いがく- ]","お医者さん[ -doctor- ],  医者[ -doctor- ],  歯医者[ -dentist- ],  医療[ -medical service, healthcare- ],  医師[ -doctor, physician- ],  医学[ -medical science, medicine- ]","お__者さん[ -doctor- ],  __者[ -doctor- ],  歯__者[ -dentist- ],  __療[ -medical service, healthcare- ],  __師[ -doctor, physician- ],  __学[ -medical science, medicine- ]",イ,,"[医学, 医療, 名医]","[いがく, いりょう, めいい]",,,",doctor,box,dart,drop,heavens,",",tenn,hako,ya,",イ    い.やす    い.する    くすし    ,イ    い.やす    い.する    くすし    ,A BOX of DARTS represents the DOCTOR's bag carried by a kanji DOCTOR.
区,ward,ward,"ward, district",636,3668,994,1696,1831,245,2,915,297,,2,251,324,4,1470,8,"区役所[ -くやくしょ- ],  区別[ -くべつ- ],  区域[ -くいき- ],  区分[ -くぶん- ],  区[ -く- ],  区切る[ -くぎる- ]","__役所[ -くやくしょ- ],  __別[ -くべつ- ],  __域[ -くいき- ],  __分[ -くぶん- ],  __[ -く- ],  __切る[ -くぎる- ]","区役所[ -ward office- ],  区別[ -distinction, discrimination- ],  区域[ -zone, district- ],  区分[ -division, segment- ],  区[ -ward- ],  区切る[ -divide, partition- ]","__役所[ -ward office- ],  __別[ -distinction, discrimination- ],  __域[ -zone, district- ],  __分[ -division, segment- ],  __[ -ward- ],  __切る[ -divide, partition- ]",ク,,"[区別, 区々, 地区]","[くべつ, く, ちく]",,,",ward,box,sheaf,",",hako,",ク    オウ    コウ    ,ク    オウ    コウ    ,A warden delivers a BOX of SHEAVES to each prison WARD. | The BOX represents three of the four sides of the boundary of a WARD.
仰,faceup,faceup,"face-up, look up, depend, seek, respect, rever, drink, take",600,3644,859,1701,1836,1427,2,916,1138,,2,1384,1523,6,1777,4,"信仰[ -しんこう- ],  仰ぐ[ -あおぐ- ],  仰向け[ -あおむけ- ]  ,  ","信__[ -しんこう- ],  __ぐ[ -あおぐ- ],  __向け[ -あおむけ- ]  ,  ","信仰[ -faith, religious belief- ],  仰ぐ[ -look up; look up to- ],  仰向け[ -facing upward- ]  ,  ","信__[ -faith, religious belief- ],  __ぐ[ -look up; look up to- ],  __向け[ -facing upward- ]  ,  ",ギョウ、コウ*,あお-ぐ、おお-せ,"[仰視, 仰天, 仰角];  [信仰]","[ぎょうし, ぎょうてん, ぎょうかく]; [しんこう]",仰ぐ; 仰せ,あお.ぐ; おお.せ,",face up,person,stamp album,box,stamps,",",hito,ninben,hako,",ギョウ    コウ    あお.ぐ    おお.せ    お.っしゃる    おっしゃ.る    ,ギョウ    コウ    あお.ぐ    おお.せ    お.っしゃる    おっしゃ.る    ,A PERSON must FACE-UP to the fact that a BOX of STAMPS (which usually features the FACE of a president looking UP) is now empty. | PERSON fills out this kanji for FACE-UP.
